Date,Open,High,Low,Close,Volume
20240422  07:30:00,417.31,417.75,416.78,416.87,14620
20240422  07:35:00,416.86,417.34,416.71,417.18,6548
20240422  07:40:00,417.18,417.73,416.82,417.33,6271
20240422  07:45:00,417.33,418.3,417.16,418.22,5760
20240422  07:50:00,418.26,418.33,417.81,417.91,5751
20240422  07:55:00,417.92,418.04,417.15,417.16,5439
20240422  08:00:00,417.16,417.91,417.14,417.38,3902
20240422  08:05:00,417.38,417.62,416.7,416.89,4868
20240422  08:10:00,416.91,417.38,416.63,416.86,3665
20240422  08:15:00,416.85,417.03,416.42,416.59,3818
20240422  08:20:00,416.59,416.61,415.43,415.54,6544
20240422  08:25:00,415.52,415.56,414.74,415.0,8159
20240422  08:30:00,415.0,415.56,414.99,415.17,4228
20240422  08:35:00,415.19,415.57,415.16,415.52,3368
20240422  08:40:00,415.51,416.05,415.4,415.56,4375
20240422  08:45:00,415.55,415.8,415.23,415.44,2546
20240422  08:50:00,415.42,415.45,414.4,414.56,6408
20240422  08:55:00,414.57,414.85,414.34,414.83,3691
20240422  09:00:00,414.79,414.91,414.6,414.67,2849
20240422  09:05:00,414.63,414.71,414.24,414.47,2492
20240422  09:10:00,414.45,414.78,414.23,414.26,2957
20240422  09:15:00,414.27,414.68,413.94,414.43,4687
20240422  09:20:00,414.43,414.74,414.3,414.7,3154
20240422  09:25:00,414.68,415.38,414.68,415.32,4607
20240422  09:30:00,415.34,415.65,415.23,415.55,3491
20240422  09:35:00,415.54,416.13,415.48,416.05,3491
20240422  09:40:00,416.05,416.21,415.51,415.56,3556
20240422  09:45:00,415.56,415.72,415.38,415.6,2181
20240422  09:50:00,415.59,416.22,415.58,416.08,2165
20240422  09:55:00,416.12,416.48,416.09,416.41,2334
20240422  10:00:00,416.42,416.83,416.31,416.7,3841
20240422  10:05:00,416.7,416.76,416.39,416.44,2156
20240422  10:10:00,416.44,416.88,416.44,416.87,1951
20240422  10:15:00,416.88,417.49,416.81,416.94,6704
20240422  10:20:00,416.94,417.2,416.56,416.57,3449
20240422  10:25:00,416.59,416.93,416.51,416.59,1949
20240422  10:30:00,416.59,416.6,416.02,416.18,3361
