Date,Open,High,Low,Close,Volume
20221019,269.93,273.68,268.07,270.49,376629
20221020,269.58,274.84,267.92,269.11,405894
20221021,267.98,275.97,266.82,275.42,497946
20221024,275.69,279.4,271.97,278.45,458170
20221025,279.41,284.6,279.4,284.21,392830
20221026,278.46,283.98,277.43,277.93,476013
20221027,276.79,278.28,272.34,272.87,360082
20221028,272.23,281.7,272.06,281.22,441812
20221031,278.92,279.76,275.99,277.95,343628
20221101,281.5,282.07,274.74,275.11,346976
20221102,275.08,278.21,265.61,265.68,625369
20221103,263.01,264.5,260.1,260.49,452930
20221104,265.55,266.61,259.08,264.68,542708
20221107,265.75,268.14,263.57,267.59,334277
20221108,269.1,272.85,265.52,269.54,474782
20221109,267.76,268.56,263.03,263.32,415018
20221110,276.01,283.05,273.85,282.75,643526
20221111,282.56,288.64,281.19,287.96,464225
20221114,285.86,289.22,284.44,285.44,372396
20221115,292.21,293.26,285.97,289.39,513717
20221116,287.39,287.74,284.6,285.44,318100
20221117,280.93,286.32,280.72,284.81,361484
20221118,287.89,287.99,282.32,284.82,324665
20221121,283.4,284.58,281.04,281.89,283205
20221122,282.64,286.11,280.46,285.95,285741
20221123,285.98,289.46,285.79,288.82,314762
20221125,287.19,287.91,286.42,286.92,111396
20221128,284.9,286.96,281.76,282.71,279822
20221129,282.94,283.35,279.17,280.57,274049
20221130,280.84,293.45,279.97,293.36,554521
20221201,293.67,295.75,290.88,293.72,367099
20221202,288.54,293.45,288.36,292.55,339360
20221205,290.38,291.68,286.15,287.64,286312
20221206,287.48,287.62,280.25,281.68,408239
20221207,280.47,282.57,278.78,280.53,296070
20221208,281.91,284.84,279.79,283.85,302395
20221209,282.81,285.64,281.59,282.04,294025
20221212,282.21,285.64,281.16,285.58,264027
20221213,296.62,296.88,285.91,288.65,534661
20221214,288.08,291.41,283.19,286.51,491332
20221215,282.33,283.01,275.67,276.89,435840
20221216,276.2,277.77,272.61,274.25,378430
20221219,273.87,273.96,268.49,269.75,290209
20221220,268.55,271.32,266.95,269.54,267468
20221221,270.6,274.78,269.74,273.45,285726
20221222,270.38,270.52,262.45,266.76,428195
20221223,265.46,268.04,263.53,267.36,260633
20221227,266.74,266.85,263.03,263.58,257031
20221228,263.13,265.47,259.73,260.1,329753
20221229,262.96,267.41,262.25,266.44,281334
20221230,263.62,266.41,262.29,266.28,268206
20230103,268.67,270.16,262.13,264.48,274846
20230104,266.61,267.45,262.53,265.74,351779
20230105,264.07,264.21,261.26,261.58,291440
20230106,263.33,269.94,260.34,268.8,375077
20230109,270.82,275.29,269.92,270.54,353854
20230110,269.53,272.93,268.97,272.83,253549
20230111,273.94,277.66,273.12,277.55,301718
20230112,278.12,280.1,273.74,279.05,395866
20230113,276.52,281.22,276.16,280.97,299169
20230117,280.77,282.85,279.58,281.54,236642
20230118,283.15,284.69,277.67,277.88,331202
20230119,276.24,277.38,273.89,275.15,308548
20230120,276.77,283.02,275.71,282.68,342276
20230123,283.51,290.21,282.73,288.96,363213
20230124,287.31,289.55,286.78,288.37,262429
20230125,283.77,288.36,281.18,287.73,355739
20230126,291.22,293.52,288.51,293.34,329737
20230127,292.0,298.26,291.88,296.26,380296
20230130,292.93,294.38,289.89,290.27,325293
20230131,290.31,294.72,290.2,294.62,285230
20230201,294.41,303.43,292.3,300.92,467164
20230202,307.52,313.68,306.73,311.72,516878
20230203,304.94,312.39,304.54,306.18,518837
20230206,303.52,305.91,302.22,303.59,282027
20230207,303.46,311.03,302.32,309.88,494554
20230208,308.54,309.5,303.67,304.37,351271
20230209,308.84,308.99,300.2,301.68,366533
20230210,299.48,301.57,297.25,299.7,356019
20230213,301.13,305.1,299.93,304.5,283835
20230214,302.89,307.72,300.91,306.75,439523
20230215,304.9,309.27,304.2,309.1,297677
20230216,304.38,308.43,303.15,303.3,410535
20230217,301.07,301.93,298.1,301.16,373753
20230221,297.27,298.73,293.89,294.03,327142
20230222,294.62,296.36,292.56,294.25,362818
20230223,297.96,298.13,292.55,296.82,512246
20230224,291.75,292.97,290.05,291.85,537919
20230227,295.08,296.49,293.34,293.94,332108
20230228,293.3,296.13,292.96,293.56,349082
20230301,293.23,293.93,290.2,291.2,423100
20230302,288.66,294.43,288.37,293.61,384761
20230303,295.39,299.92,294.87,299.68,417951
20230306,300.94,304.0,299.82,300.02,397269
20230307,300.07,301.01,295.72,296.34,501272
20230308,296.74,298.43,294.88,297.82,377766
20230309,298.34,300.98,291.82,292.66,521217
20230310,292.83,294.35,287.38,288.55,720163
20230313,286.73,294.47,285.19,290.69,706178
20230314,294.31,297.93,293.45,297.37,521080
20230315,294.71,299.27,293.24,298.93,547778
20230316,297.95,307.18,297.19,306.81,638734
20230317,306.72,309.15,303.37,305.36,513900
20230320,304.26,306.3,302.01,305.97,374156
20230321,307.94,310.8,306.39,310.34,340162
20230322,310.27,315.25,305.95,306.12,541606
20230323,309.92,314.15,307.01,309.75,498994
20230324,309.32,310.99,306.95,310.89,425742
20230327,311.6,312.7,307.89,308.76,368751
20230328,308.17,308.2,304.77,307.12,336708
20230329,310.89,313.35,310.05,312.72,374249
20230330,315.22,316.32,313.93,315.68,348510
20230331,315.91,321.17,315.6,320.93,412921
20230403,318.77,320.42,317.42,320.15,332755
20230404,320.6,321.63,317.82,319.07,309210
20230405,318.1,318.31,314.07,315.92,476197
20230406,314.24,318.55,312.82,318.05,337324
20230410,315.06,317.92,313.25,317.87,315562
20230411,317.84,317.89,315.31,315.83,291534
20230412,317.82,318.42,312.56,313.04,411391
20230413,314.82,319.65,314.64,319.17,367795
20230414,317.59,320.36,315.61,318.57,389304
20230417,318.17,319.2,316.04,318.84,300452
20230418,321.0,321.42,317.64,318.86,317870
20230419,316.41,319.79,316.28,318.71,279903
