Date,Open,High,Low,Close,Volume
20241015  07:30:00,584.59,584.9,584.59,584.67,3494
20241015  07:30:30,584.68,584.71,584.53,584.6,850
20241015  07:31:00,584.6,584.74,584.53,584.65,901
20241015  07:31:30,584.64,584.74,584.61,584.64,743
20241015  07:32:00,584.61,584.8,584.56,584.75,905
20241015  07:32:30,584.76,584.8,584.65,584.71,722
20241015  07:33:00,584.73,584.74,584.48,584.48,745
20241015  07:33:30,584.48,584.56,584.44,584.5,477
20241015  07:34:00,584.52,584.81,584.48,584.76,483
20241015  07:34:30,584.78,584.84,584.7,584.72,537
20241015  07:35:00,584.72,584.78,584.66,584.71,538
20241015  07:35:30,584.72,584.81,584.59,584.75,722
20241015  07:36:00,584.75,584.75,584.61,584.62,348
20241015  07:36:30,584.61,584.84,584.57,584.75,382
20241015  07:37:00,584.76,584.79,584.66,584.69,365
20241015  07:37:30,584.69,584.76,584.66,584.69,236
20241015  07:38:00,584.7,584.71,584.6,584.68,328
20241015  07:38:30,584.69,584.69,584.53,584.57,574
20241015  07:39:00,584.56,584.58,584.38,584.39,585
20241015  07:39:30,584.44,584.45,584.35,584.4,197
20241015  07:40:00,584.44,584.55,584.39,584.45,387
20241015  07:40:30,584.46,584.56,584.44,584.45,208
20241015  07:41:00,584.44,584.58,584.43,584.58,184
20241015  07:41:30,584.57,584.59,584.48,584.5,179
20241015  07:42:00,584.5,584.64,584.48,584.57,192
20241015  07:42:30,584.59,584.61,584.44,584.47,543
20241015  07:43:00,584.48,584.5,584.37,584.39,439
20241015  07:43:30,584.37,584.47,584.37,584.44,188
20241015  07:44:00,584.45,584.49,584.4,584.49,365
20241015  07:44:30,584.5,584.58,584.35,584.36,393
20241015  07:45:00,584.36,584.49,584.36,584.4,460
20241015  07:45:30,584.4,584.53,584.38,584.49,427
20241015  07:46:00,584.5,584.52,584.35,584.39,383
20241015  07:46:30,584.41,584.45,584.32,584.36,631
20241015  07:47:00,584.36,584.48,584.32,584.46,341
20241015  07:47:30,584.47,584.51,584.42,584.46,275
20241015  07:48:00,584.47,584.63,584.45,584.63,296
20241015  07:48:30,584.64,584.65,584.56,584.6,111
20241015  07:49:00,584.6,584.73,584.6,584.67,1091
20241015  07:49:30,584.67,584.68,584.56,584.64,118
20241015  07:50:00,584.64,584.64,584.4,584.44,432
20241015  07:50:30,584.43,584.47,584.4,584.42,228
20241015  07:51:00,584.42,584.59,584.41,584.57,160
20241015  07:51:30,584.57,584.72,584.53,584.72,195
20241015  07:52:00,584.7,584.71,584.63,584.65,123
20241015  07:52:30,584.64,584.69,584.6,584.66,119
20241015  07:53:00,584.65,584.69,584.6,584.63,261
20241015  07:53:30,584.67,584.69,584.62,584.66,196
20241015  07:54:00,584.67,584.68,584.58,584.63,207
20241015  07:54:30,584.64,584.72,584.62,584.72,401
20241015  07:55:00,584.72,584.82,584.7,584.78,323
20241015  07:55:30,584.78,584.83,584.76,584.79,211
20241015  07:56:00,584.8,584.81,584.5,584.58,430
20241015  07:56:30,584.59,584.59,584.48,584.49,252
20241015  07:57:00,584.49,584.53,584.44,584.48,322
20241015  07:57:30,584.47,584.47,584.42,584.44,349
20241015  07:58:00,584.44,584.47,584.4,584.44,378
20241015  07:58:30,584.44,584.44,584.32,584.42,782
20241015  07:59:00,584.42,584.43,584.2,584.21,794
20241015  07:59:30,584.22,584.23,584.11,584.22,829
20241015  08:00:00,584.21,584.39,584.2,584.23,430
20241015  08:00:30,584.22,584.27,584.2,584.22,157
20241015  08:01:00,584.24,584.35,584.21,584.35,234
20241015  08:01:30,584.35,584.41,584.33,584.37,263
20241015  08:02:00,584.36,584.43,584.33,584.36,319
